Latitude,Longitude,Elevation(m),LocalDate,LocalTime,LimitingMag,SQMReading,CloudCover,Constellation
48.5158,-2.80735,119.05,2017-01-20,20:40,5,19.15,clear,Orion
48.5255,-2.78413,100.31,2017-01-20,20:30,4,18.75,clear,Orion
48.5143,-2.75618,85.49,2017-01-20,20:20,3,17.15,clear,Orion
48.5151,-2.7481,78.4,2017-01-20,20:16,4,18.4,clear,Orion
48.5269,-2.71719,8.86,2017-01-20,20:05,5,19.55,clear,Orion
45.7688,1.05387,334.65,2017-01-20,20:15,6,21.03,clear,Orion
45.8328,1.26669,248.65,2017-01-20,20:28,3,,clear,Orion
48.5156,-2.76777,94.8,2017-01-19,22:58,5,19.2,clear,Orion
48.4805,-2.74856,137.9,2017-01-19,22:45,5,19.75,clear,Orion
48.4728,-2.7801,141.6,2017-01-19,22:40,5,20.1,clear,Orion
48.4345,-2.82272,191.65,2017-01-19,22:25,5,19.85,clear,Orion
48.4499,-2.81499,162.04,2017-01-19,22:20,5,19.9,clear,Orion
48.4698,-2.88295,173.64,2017-01-19,22:03,5,20.05,clear,Orion
48.4927,-2.84645,122.17,2017-01-19,21:55,6,20.45,clear,Orion
48.4998,-2.8399,123.7,2017-01-19,21:50,5,20.05,clear,Orion
48.5226,-2.85267,139.67,2017-01-19,21:45,5,19.55,clear,Orion
48.522,-2.8734,158.42,2017-01-19,21:40,5,20.2,clear,Orion
48.5417,-2.83618,130.4,2017-01-19,21:35,5,20.35,clear,Orion
48.5361,-2.76564,111.42,2017-01-19,20:25,4,18.7,clear,Orion
48.5542,-2.71654,67.45,2017-01-19,21:15,6,20.55,clear,Orion
48.4862,-2.67263,6.9,2017-01-19,20:59,5,19.4,clear,Orion
48.4695,-2.65265,52.99,2017-01-19,20:48,5,19.15,clear,Orion
48.5026,-2.65371,45.04,2017-01-19,20:37,5,19.7,clear,Orion
48.5176,-2.67338,20.02,2017-01-19,20:32,5,20.25,clear,Orion
48.5328,-2.67256,38.75,2017-01-19,20:25,6,20.45,clear,Orion
48.5023,-2.69441,7.04,2017-01-19,20:10,5,19.65,clear,Orion
48.4986,-2.71368,82.81,2017-01-19,20:05,4,18.3,clear,Orion
48.4826,-2.71917,105.46,2017-01-19,19:55,5,19.4,clear,Orion
48.4554,-2.7038,98.06,2017-01-19,19:46,5,20.2,clear,Orion
48.458,-2.71897,114.09,2017-01-19,19:42,5,20.1,clear,Orion
48.4491,-2.75066,157.49,2017-01-19,19:35,5,19.5,clear,Orion
43.6611,5.01677,73.99,2017-01-20,12:49,4,,1/2 of sky,Orion
43.6953,5.02967,119.15,2017-01-19,12:49,4,,1/2 of sky,Orion
43.6611,5.01676,73.99,2017-01-20,19:45,4,,1/4 of sky,Orion
43.6611,5.01656,73.95,2017-01-19,19:30,4,,1/2 of sky,Orion
43.6611,5.01676,73.99,2017-01-20,19:45,4,,1/4 of sky,Orion
43.6611,5.01676,73.99,2017-01-20,12:45,4,,1/4 of sky,Orion
43.6611,5.01686,73.99,2017-01-19,19:44,4,,1/2 of sky,Orion
43.661,5.01674,73.97,2017-01-19,19:00,4,,1/2 of sky,Orion
43.661,5.01675,73.97,2017-01-19,19:30,4,,1/2 of sky,Orion
45.8438,1.48751,324.77,2017-01-19,00:00,5,,1/4 of sky,Orion
45.7688,1.0538,334.76,2017-01-19,20:15,6,21.03,clear,Orion
48.882,3.00074,159.21,2017-01-19,19:34,3,,clear,Orion
