Latitude,Longitude,Elevation(m),LocalDate,LocalTime,LimitingMag,SQMReading,CloudCover,Constellation
44.3463,6.79565,2542.7,2017-08-19,22:08,4,18.31,clear,
42.6383,3.03152,2.62,2017-08-18,15:01,2,16.59,clear,
44.0498,3.8273,488.37,2017-08-18,00:12,6,20.82,clear,
47.045,2.33159,156.47,2017-08-17,22:34,5,19.77,clear,
44.0673,3.70788,636.81,2017-08-14,23:46,6,21.02,clear,
47.8843,-3.98881,4.55,2017-08-13,23:52,5,20.1,clear,
44.019,3.62404,501.0,2017-08-13,22:22,6,20.86,clear,
44.019,3.62404,501.0,2017-08-13,22:24,6,21.04,clear,
44.01,3.66529,340.08,2017-08-13,22:43,6,20.47,clear,
42.9719,0.79781,658.2,2017-08-13,23:44,5,,1/4 of sky,Hercules
46.7839,-2.03244,3.74,2017-08-10,23:05,5,19.57,clear,
46.7844,-2.03293,2.94,2017-08-10,22:37,4,18.71,clear,
44.7322,2.68341,702.86,2017-08-08,22:21,6,21.08,clear,
46.3024,3.32671,274.3,2017-08-05,00:34,5,20.02,clear,
46.7838,-2.03268,4.04,2017-08-02,00:08,5,19.65,clear,
46.1912,6.21524,425.11,2017-07-28,23:11,4,18.88,clear,
46.1913,6.21511,425.0,2017-07-28,23:13,4,18.94,clear,
44.085,3.48783,1334.18,2017-07-28,23:37,6,21.75,1/4 of sky,
44.8034,1.16016,69.41,2017-07-25,23:26,6,21.02,clear,
44.0681,3.70744,636.97,2017-07-26,00:43,6,20.84,clear,
44.0681,3.70744,636.97,2017-07-26,00:44,6,21.15,clear,
44.0678,3.70702,628.71,2017-07-26,00:44,6,20.98,clear,
44.0678,3.70702,628.71,2017-07-26,00:45,6,21.39,clear,
44.3263,4.02609,451.59,2017-07-26,23:10,6,20.56,clear,
44.3263,4.02609,451.59,2017-07-26,23:12,6,21.56,clear,
43.4289,-1.34954,139.33,2017-07-27,00:05,5,19.81,clear,
44.0681,3.70753,638.94,2017-07-27,00:28,6,21.71,clear,
44.068,3.70733,635.24,2017-07-27,00:29,6,21.51,clear,
44.068,3.70733,635.24,2017-07-27,00:30,6,21.27,clear,
44.0681,3.70751,638.52,2017-07-27,00:31,6,21.5,clear,
44.0679,3.70718,632.37,2017-07-27,00:33,6,21.42,clear,
44.7931,0.562077,90.3,2017-07-27,23:26,6,20.88,clear,
44.0681,3.70756,639.46,2017-07-28,00:25,6,20.83,clear,
44.0681,3.70756,639.46,2017-07-28,00:26,6,20.71,clear,
