ville,departement,region,nombre_etoiles,latitude,longitude,nom_dep
Sèvres-Anxaumont,Vienne,Nouvelle Aquitaine,3,46.569166,0.4640669999999999,Departement de la Vienne
Saint-Pons,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,3,44.350016,6.379999,Departement des Alpes-de-Haute-Provence
Sornac,Correze,Nouvelle Aquitaine,3,45.666858,2.192141,Departement de la Creuse
Maillet,Indre,Centre-Val de Loire,3,46.572515,1.678578,Departement de l'Indre
Lay,Loire,Auvergne-Rhône-Alpes,3,45.954968,4.217509,Departement de la Loire
Pouru-aux-Bois,Ardennes,Grand-Est,3,49.705756,5.090925,Departement des Ardennes
Sceaux-sur-Huisne,Sarthe,Pays de la Loire,3,48.104588,0.582664,Departement de la Sarthe
Sigoyer,Hautes-alpes,Provence-Alpes-Côte d'Azur,3,44.477132,5.9755,Departement des Hautes-Alpes
Saint-Sylvain,Calvados,Normandie,3,49.055956,-0.2173409999999999,Departement du Calvados
Arçay,Cher,Centre-Val de Loire,3,46.948314,2.33998,Departement du Cher
Boigneville,Essonne,Ile-de-France,3,48.334646,2.371186,Departement du Loiret
Vabre,Tarn,Occitanie,3,43.692218,2.425833,Departement du Tarn
Balaives-et-Butz,Ardennes,Grand-Est,3,49.672722,4.733635,Departement des Ardennes
Saint-Hostien,Haute-loire,Auvergne-Rhône-Alpes,3,45.071443,4.047059,Departement de la Haute-Loire
Saint-Genès-Champanelle,Puy-de-dome,Auvergne-Rhône-Alpes,3,45.720181,3.017998,Departement du Puy-de-Dome
Cizay-la-Madeleine,Maine-et-loire,Pays de la Loire,3,47.188148,-0.187529,Departement de Maine-et-Loire
Roggenhouse,Haut-rhin,Grand-Est,3,47.88951,7.470169,Departement du Haut-Rhin
Écordal,Ardennes,Grand-Est,3,49.527413,4.579588,Departement des Ardennes
Leschères,Jura,Bourgogne-Franche-Comté,3,46.451535,5.826371,Departement du Jura
Campagne-lès-Guines,Pas-de-calais,Hauts-de-France,3,50.839412,1.903313,Departement du Pas-de-Calais
Chaumont d'Anjou,Maine-et-loire,Pays de la Loire,3,47.55189,-0.23635,Departement de Maine-et-Loire
Giat,Puy-de-dome,Auvergne-Rhône-Alpes,3,45.801769,2.466984,Departement de la Creuse
Treize-Vents,Correze,Nouvelle Aquitaine,3,45.268,1.7857189999999998,Departement de la Correze
Le Plessis Grammoire,Maine-et-loire,Pays de la Loire,3,47.500173,-0.43081,Departement de Maine-et-Loire
Le Brignon,Haute-loire,Auvergne-Rhône-Alpes,3,44.935123,3.879717,Departement de la Haute-Loire
Belmont-Sainte-Foi,Lot,Occitanie,3,44.281905,1.6316739999999998,Departement du Lot
Novion-Porcien,Ardennes,Grand-Est,3,49.599462,4.422777,Departement des Ardennes
Cayres,Haute-loire,Auvergne-Rhône-Alpes,3,44.924877,3.806046,Departement de la Haute-Loire
Puyjourdes,Lot,Occitanie,3,44.406941,1.859739,Departement du Lot
Lissac,Ariege,Occitanie,3,43.268709,1.510415,Departement de la Haute-Garonne
Saint-Pierre-de-Genebroz,Savoie,Auvergne-Rhône-Alpes,3,45.452265,5.753769,Departement de la Savoie
Quesques,Pas-de-calais,Hauts-de-France,3,50.703265,1.931728,Departement du Pas-de-Calais
Douzens,Aude,Occitanie,2,43.185572,2.596815,Departement de l'Aude
Montaigut-le-Blanc,Creuse,Nouvelle Aquitaine,2,46.121057,1.7347739999999998,Departement de la Creuse
Mérindol,Vaucluse,Provence-Alpes-Côte d'Azur,2,43.755152,5.202624,Departement du Vaucluse
Verteuil-sur-Charente,Charente,Nouvelle Aquitaine,2,45.981646,0.228785,Departement de la Charente
Périers,Manche,Normandie,2,49.185635,-1.4077,Departement de la Manche
Saint-Denis-du-Payré,Vendee,Pays de la Loire,2,46.406681,-1.269142,Departement de la Vendee
Saint-Yrieix-le-Déjalat,Correze,Nouvelle Aquitaine,2,45.45613,1.971283,Departement de la Correze
Reclinghem,Pas-de-calais,Hauts-de-France,2,50.572296,2.175524,Departement du Pas-de-Calais
Wismes,Pas-de-calais,Hauts-de-France,2,50.653232,2.071141,Departement du Pas-de-Calais
Lérigneux,Loire,Auvergne-Rhône-Alpes,2,45.600784,3.964691,Departement de la Loire
Saint-Julien-Chapteuil,Haute-loire,Auvergne-Rhône-Alpes,2,45.034398,4.060336,Departement de la Haute-Loire
Le Poët-Sigillat,Drome,Auvergne-Rhône-Alpes,2,44.368659,5.316882,Departement de la Drome
Villé,Bas-rhin,Grand-Est,2,48.342737,7.303237,Departement du Bas-Rhin
Le-Grand-Village-Plage,Charente-maritime,Nouvelle Aquitaine,2,45.859593,-1.237092,Departement de la Charente-Maritime
Magny-lès-Aubigny,Cote-d'or,Bourgogne-Franche-Comté,2,47.110698,5.176173,Departement de la Cote-d'Or
Saint-Jeannet,Tarn,Occitanie,2,43.922082,1.735087,Departement du Tarn
Anchamps,Ardennes,Grand-Est,2,49.93146,4.67423,Departement des Ardennes
Saint-Georges-Haute-Ville,Loire,Auvergne-Rhône-Alpes,2,45.553629,4.098462,Departement de la Loire
Lézigneux,Loire,Auvergne-Rhône-Alpes,2,45.566604,4.060255,Departement de la Loire
Le Grand-Bourg,Creuse,Nouvelle Aquitaine,2,46.159641,1.644457,Departement de la Creuse
Laprade,Lot-et-garonne,Nouvelle Aquitaine,2,44.182453,0.297183,Departement du Lot-et-Garonne
Gourdon,Lot,Occitanie,2,44.736817,1.381841,Departement du Lot
Châteldon,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.976533,3.519209,Departement du Puy-de-Dome
La Possession,Reunion,,2,-20.99646,55.409766,Reunion
Vitrimont,Meurthe-et-moselle,Grand-Est,2,48.60061,6.439112,Departement de Meurthe-et-Moselle
Cellieu,Loire,Auvergne-Rhône-Alpes,2,45.522329,4.539845,Departement de la Loire
Ajoncourt,,Grand-Est,2,48.844314,6.288818,Departement de Meurthe-et-Moselle
Le Juch,Finistere,Bretagne,2,48.065358,-4.255706,Departement du Finistere
Val d'Oronaye,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,2,44.476169,6.798476,Departement des Alpes-de-Haute-Provence
Montval-sur-Loir,Sarthe,Pays de la Loire,2,47.693176,0.417263,Departement de la Sarthe
Saint-Claude-de-Diray,Loir-et-cher,Centre-Val de Loire,2,47.614637,1.4158,Departement du Loir-et-Cher
La Gresle,Loire,Auvergne-Rhône-Alpes,2,46.074949,4.280987,Departement du Rhone
La Chapelle-Heulin,Loire-atlantique,Pays de la Loire,2,47.175875,-1.340764,Departement de la Loire-Atlantique
La Tour-d'Aigues,Vaucluse,Provence-Alpes-Côte d'Azur,2,43.725116,5.547809,Departement du Vaucluse
Jouy-Mauvoisin,Yvelines,Ile-de-France,2,48.974512,1.647617,Departement des Yvelines
Craponne-sur-Arzon,Haute-loire,Auvergne-Rhône-Alpes,2,45.330673,3.847666,Departement de la Haute-Loire
Calès,Haute-garonne,Occitanie,2,43.441872,2.008128,Departement de la Haute-Garonne
Esbarres,Cote-d'or,Bourgogne-Franche-Comté,2,47.093773,5.213735,Departement de la Cote-d'Or
Cobrieux,Nord,Hauts-de-France,2,50.543413,3.228182,Departement du Nord
Saint-Brice-sur-Vienne,Haute-vienne,Nouvelle Aquitaine,2,45.879038,0.952404,Departement de la Haute-Vienne
Prévocourt,Moselle,Grand-Est,2,48.914243,6.427071,Departement de la Moselle
Auzat-la-Combelle,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.452293,3.317286,Departement du Puy-de-Dome
Lure,Haute-saone,Bourgogne-Franche-Comté,2,47.682941,6.495943,Departement de la Haute-Saone
Concoret,Morbihan,Bretagne,2,48.063816,-2.207172,Departement d'Ille-et-Vilaine
Saint-Bonnet-Elvert,Correze,Nouvelle Aquitaine,2,45.16101,1.902894,Departement de la Correze
Saint-Pierre-du-Lorouër,Sarthe,Pays de la Loire,2,47.80529,0.5214219999999999,Departement de la Sarthe
Piégut-Pluviers,Dordogne,Nouvelle Aquitaine,2,45.621703,0.688472,Departement de la Dordogne
Neuvy,Loir-et-cher,Centre-Val de Loire,2,47.563002,1.602218,Departement du Loir-et-Cher
Espagnac,Correze,Nouvelle Aquitaine,2,45.229385,1.896452,Departement de la Correze
Castillon,Gard,Occitanie,2,44.289436,4.133638,Departement du Gard
La Meignanne,Mayenne,Pays de la Loire,2,47.792303,-0.503072,Departement de Maine-et-Loire
Uvernet-Fours,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,2,44.360362,6.6249,Departement des Alpes-de-Haute-Provence
Sanghen,Pas-de-calais,Hauts-de-France,2,50.775692,1.901878,Departement du Pas-de-Calais
Ris,Hautes-pyrenees,Occitanie,2,42.886767,0.397211,Departement des Hautes-Pyrenees
Saint-Vallier,,Auvergne-Rhône-Alpes,2,45.177773,4.814306,Departement de la Drome
Craintilleux,Loire,Auvergne-Rhône-Alpes,2,45.582846,4.233706,Departement de la Loire
Ouchamps,Loir-et-cher,Centre-Val de Loire,2,47.471758,1.307157,Departement du Loir-et-Cher
La Terrasse,Loire,Auvergne-Rhône-Alpes,2,45.45245,4.284493,Departement de la Loire
Barret-sur-Méouge,Hautes-alpes,Provence-Alpes-Côte d'Azur,2,44.261853,5.732336,Departement des Hautes-Alpes
Quelmes,Pas-de-calais,Hauts-de-France,2,50.732672,2.136124,Departement du Pas-de-Calais
Bouray-sur-Juine,Essonne,Ile-de-France,2,48.519564,2.297199,Departement de l'Essonne
Saint-Bonnet-le-Courreau,Loire,Auvergne-Rhône-Alpes,2,45.659496,3.943881,Departement de la Loire
Mesland,Loir-et-cher,Centre-Val de Loire,2,47.509425,1.121249,Departement du Loir-et-Cher
Saint-Gence,Haute-vienne,Nouvelle Aquitaine,2,45.920958,1.1367,Departement de la Haute-Vienne
Les Ayvelles,Ardennes,Grand-Est,2,49.720933,4.756061,Departement des Ardennes
Mirefleurs,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.692946,3.223579,Departement du Puy-de-Dome
Aulnat,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.798401,3.167361,Departement du Puy-de-Dome
Holtzheim,Bas-rhin,Grand-Est,2,48.558012,7.639893,Departement du Bas-Rhin
Nordhouse,Bas-rhin,Grand-Est,2,48.447708,7.672131999999999,Departement du Bas-Rhin
Vineuil,Loir-et-cher,Centre-Val de Loire,2,47.579817,1.371593,Departement du Loir-et-Cher
Montaulieu,Drome,Auvergne-Rhône-Alpes,2,44.357077,5.223526,Departement de la Drome
Beynat,Correze,Nouvelle Aquitaine,2,45.123976,1.722997,Departement de la Correze
Vercoiran,Drome,Auvergne-Rhône-Alpes,2,44.300513,5.345445,Departement de la Drome
Planfoy,Loire,Auvergne-Rhône-Alpes,2,45.382256,4.440119,Departement de la Loire
Lalbenque,Lot,Occitanie,2,44.338394,1.5437539999999998,Departement du Lot
Moigny-sur-École,Essonne,Ile-de-France,2,48.432236,2.456541,Departement de l'Essonne
Battenheim,Haut-rhin,Grand-Est,2,47.818952,7.381252,Departement du Haut-Rhin
Seigy,Loir-et-cher,Centre-Val de Loire,2,47.254237,1.397327,Departement du Loir-et-Cher
Belleneuve,Cote-d'or,Bourgogne-Franche-Comté,2,47.356653,5.265668,Departement de la Cote-d'Or
