ville,departement,region,nombre_etoiles,latitude,longitude
La Verpillière,Isere,Auvergne-Rhône-Alpes,1,45.636757,5.142649
Mécleuves,Moselle,Grand-Est,1,49.041938,6.269859
Saint-Saturnin-lès-Apt,Vaucluse,Provence-Alpes-Côte d'Azur,1,43.94402,5.383124
Joucas,Vaucluse,Provence-Alpes-Côte d'Azur,1,43.925204,5.251541
Aouste-sur-Sye,Drome,Auvergne-Rhône-Alpes,1,44.715149,5.055786
Souzy-la-Briche,Essonne,Ile-de-France,1,48.528485,2.148092
Bullion,Yvelines,Ile-de-France,1,48.621756,1.995963
Thiébauménil,Meurthe-et-moselle,Grand-Est,1,48.578967,6.622245
Prény,Meurthe-et-moselle,Grand-Est,1,48.977985,5.996506
Roquettes,Haute-garonne,Occitanie,1,43.498774,1.366002
Le Bois-Plage-en-Ré,Charente-maritime,Nouvelle Aquitaine,1,46.185511,-1.393437
Péone,Alpes-maritimes,Provence-Alpes-Côte d'Azur,1,44.117242,6.908333
Trélazé,Maine-et-loire,Pays de la Loire,1,47.445935,-0.4671809999999999
Labaroche,Haut-rhin,Grand-Est,1,48.109729,7.192757
Thiat,Haute-vienne,Nouvelle Aquitaine,1,46.265846,0.973007
Le Poët-en-Percip,Drome,Auvergne-Rhône-Alpes,1,44.254501,5.391155
Sainte-Feyre,Creuse,Nouvelle Aquitaine,1,46.138226,1.914453
Salleboeuf,Gironde,Nouvelle Aquitaine,1,44.84159,-0.397563
Serres-Castet,Pyrenees-atlantiques,Nouvelle Aquitaine,1,43.386234,-0.3549
Nieul,Haute-vienne,Nouvelle Aquitaine,1,45.924206,1.170148
Manonviller,Meurthe-et-moselle,Grand-Est,1,48.582632,6.649643
Aulon,Creuse,Nouvelle Aquitaine,1,46.081827,1.6903800000000002
Sainte-Florine,Haute-loire,Auvergne-Rhône-Alpes,1,45.404569,3.317013
Sponville,Meurthe-et-moselle,Grand-Est,1,49.071956,5.832121
Manhoué,,Grand-Est,1,48.824947,6.338036
Saint-Aignan,Loir-et-cher,Centre-Val de Loire,1,47.268343,1.375741
Entre-Deux,Reunion,,1,-21.210667,55.486919
Forcalquier,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,1,43.958983,5.778908
Cublac,Correze,Nouvelle Aquitaine,1,45.145407,1.30383
Laussonne,Haute-loire,Auvergne-Rhône-Alpes,1,44.969649,4.0515
Luxey,Landes,Nouvelle Aquitaine,1,44.262826,-0.520865
Wolfling-lès-Sarreguemines,Moselle,Grand-Est,1,49.085062,7.172944
Asson,Pyrenees-atlantiques,Nouvelle Aquitaine,1,43.139877,-0.255777
La Rochette,Savoie,Auvergne-Rhône-Alpes,1,45.457986,6.120245
Angoulins,Charente-maritime,Nouvelle Aquitaine,1,46.104118,-1.11078
Trensacq,Landes,Nouvelle Aquitaine,1,44.213673,-0.753343
Rochefort,Charente-maritime,Nouvelle Aquitaine,1,45.941496,-0.968099
Villers-Semeuse,Ardennes,Grand-Est,1,49.739019,4.748361
Xonrupt-Longemer,Vosges,Grand-Est,1,48.080195,6.925517
Chavanay,Loire,Auvergne-Rhône-Alpes,1,45.414182,4.729945
Bayon,Meurthe-et-moselle,Grand-Est,1,48.474499,6.314385
Aboncourt-sur-Seille,,Grand-Est,1,48.815924,6.338821
