ville,departement,region,nombre_etoiles,latitude,longitude
Mesland,Loir-et-cher,Centre-Val de Loire,2,47.509425,1.121249
Saint-Gence,Haute-vienne,Nouvelle Aquitaine,2,45.920958,1.1367
Les Ayvelles,Ardennes,Grand-Est,2,49.720933,4.756061
Mirefleurs,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.692946,3.223579
Aulnat,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.798401,3.167361
Holtzheim,Bas-rhin,Grand-Est,2,48.558012,7.639893
Nordhouse,Bas-rhin,Grand-Est,2,48.447708,7.672131999999999
Vineuil,Loir-et-cher,Centre-Val de Loire,2,47.579817,1.371593
Montaulieu,Drome,Auvergne-Rhône-Alpes,2,44.357077,5.223526
Beynat,Correze,Nouvelle Aquitaine,2,45.123976,1.722997
Vercoiran,Drome,Auvergne-Rhône-Alpes,2,44.300513,5.345445
Planfoy,Loire,Auvergne-Rhône-Alpes,2,45.382256,4.440119
Lalbenque,Lot,Occitanie,2,44.338394,1.5437539999999998
Moigny-sur-École,Essonne,Ile-de-France,2,48.432236,2.456541
Battenheim,Haut-rhin,Grand-Est,2,47.818952,7.381252
Seigy,Loir-et-cher,Centre-Val de Loire,2,47.254237,1.397327
Belleneuve,Cote-d'or,Bourgogne-Franche-Comté,2,47.356653,5.265668
Bernin,Isere,Auvergne-Rhône-Alpes,2,45.268379,5.864624
Allègre,Haute-loire,Auvergne-Rhône-Alpes,2,45.199257,3.710665
Blavozy,Haute-loire,Auvergne-Rhône-Alpes,2,45.056772,3.976911
Wirwignes,Pas-de-calais,Hauts-de-France,2,50.684617,1.759783
Aujols,Aveyron,Occitanie,2,44.59662,2.374634
Larnagol,Lot,Occitanie,2,44.478031,1.772797
Chauconin-Neufmontiers,Seine-et-marne,Ile-de-France,2,48.975733,2.838811
Saint-Bonnet-Briance,Haute-vienne,Nouvelle Aquitaine,2,45.707172,1.475577
Gourvillette,Charente-maritime,Nouvelle Aquitaine,2,45.889462,-0.223399
Albon-d'Ardèche,Ardeche,Auvergne-Rhône-Alpes,2,44.820486,4.426989
Mallièvre,Vendee,Pays de la Loire,2,46.91063,-0.864261
Bressolles,Haute-loire,Auvergne-Rhône-Alpes,2,45.34232,3.151794
Lamothe-Goas,Gers,Occitanie,2,43.864388,0.557978
Concots,Lot,Occitanie,2,44.400894,1.643867
Bosmie-l'Aiguille,Haute-vienne,Nouvelle Aquitaine,2,45.7673,1.215241
Bonnelles,Yvelines,Ile-de-France,2,48.618418,2.027233
Baincthun,Pas-de-calais,Hauts-de-France,2,50.709822,1.680009
